Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,22.625000,23.375000,22.000000,22.125000,7.376990,585300
2000-02-01,22.375000,22.875000,22.000000,22.812500,7.800820,631800
2000-03-01,22.500000,22.937500,22.000000,22.750000,7.779448,959800
2000-04-01,22.625000,24.500000,22.375000,23.875000,8.164145,518800
2000-05-01,24.000000,24.437500,23.062500,23.437500,8.208873,738600
2000-06-01,23.500000,24.250000,23.000000,24.015600,8.411352,575900
2000-07-01,24.000000,24.375000,23.000000,23.687500,8.296433,519400
2000-08-01,23.750000,24.875000,23.625000,24.187500,8.680243,372900
2000-09-01,24.187500,24.375000,23.562500,23.937500,8.590525,353700
2000-10-01,23.875000,23.875000,21.750000,22.000000,7.895209,751200
2000-11-01,22.000000,22.312500,21.250000,21.250000,7.828997,351800
2000-12-01,21.375000,22.687500,21.250000,22.562500,8.312551,602800
2001-01-01,22.625000,23.875000,22.500000,22.799999,8.400045,1005900
2001-02-01,22.950001,22.990000,21.730000,21.799999,8.238358,703800
2001-03-01,21.799999,22.879999,21.799999,22.480000,8.495333,751400
2001-04-01,22.480000,23.190001,22.420000,22.900000,8.654058,665800
2001-05-01,23.049999,25.000000,22.590000,24.100000,9.344183,702500
2001-06-01,24.049999,25.750000,24.020000,25.590000,9.921893,559600
2001-07-01,25.600000,26.420000,25.510000,25.750000,9.983929,567200
2001-08-01,25.799999,26.260000,25.299999,25.799999,10.230094,585600
2001-09-01,25.650000,26.040001,24.400000,26.000000,10.309393,465000
2001-10-01,26.000000,26.309999,24.400000,24.580000,9.746342,588400
2001-11-01,24.590000,25.969999,24.549999,25.799999,10.466873,496100
2001-12-01,25.700001,26.760000,25.200001,26.299999,10.669717,483400
2002-01-01,26.350000,26.750000,25.510000,25.709999,10.430364,632100
2002-02-01,25.709999,25.860001,25.180000,25.650000,10.640472,538800
2002-03-01,25.650000,26.150000,25.100000,26.150000,10.847887,996200
2002-04-01,26.150000,27.420000,25.650000,26.740000,11.092633,1401300
2002-05-01,26.750000,26.889999,25.510000,26.020000,11.034368,901900
2002-06-01,25.950001,27.010000,25.510000,26.750000,11.343946,969400
2002-07-01,26.799999,26.900000,22.250000,25.750000,10.919869,1320600
2002-08-01,25.750000,25.950001,24.000000,25.200001,10.937556,781000
2002-09-01,25.100000,25.750000,24.500000,24.910000,10.811683,638300
2002-10-01,25.000000,25.450001,21.990000,23.600000,10.243107,1063000
2002-11-01,23.650000,25.230000,23.500000,24.900000,11.078045,605200
2002-12-01,25.000000,25.000000,23.650000,24.450001,10.877843,733200
2003-01-01,24.580000,24.980000,23.410000,23.799999,10.588655,907200
2003-02-01,23.950001,24.030001,23.120001,23.309999,10.627882,710900
