Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,84.260002,100.019997,83.309998,99.330002,99.330002,58887300
2015-08-01,99.660004,101.820000,80.120003,95.690002,95.690002,69940000
2015-09-01,93.360001,105.889999,92.519997,96.779999,96.779999,61722400
2015-10-01,97.059998,104.739998,88.010002,95.080002,95.080002,74610400
2015-11-01,95.239998,97.540001,84.190002,86.220001,86.220001,66439300
2015-12-01,86.790001,88.559998,77.779999,80.610001,80.610001,59280600
2016-01-01,79.669998,86.290001,63.230000,85.430000,85.430000,113682200
2016-02-01,84.800003,85.949997,70.839996,83.690002,83.690002,69218700
2016-03-01,84.139999,85.790001,40.582272,41.426289,41.426289,37649400
2016-04-01,40.800724,46.202423,39.946777,40.512764,40.512764,41732900
2016-05-01,40.284382,40.532623,33.462749,34.723808,34.723808,36596800
2016-06-01,34.723808,36.419998,31.309999,36.400002,36.400002,30190500
2016-07-01,36.264999,39.419998,35.119999,35.700001,35.700001,19552500
2016-08-01,35.660000,42.944000,33.660000,35.650002,35.650002,16582100
2016-09-01,35.540001,35.810001,33.160000,33.860001,33.860001,15328400
2016-10-01,33.630001,34.290001,25.530001,25.860001,25.860001,31608500
2016-11-01,26.010000,26.940001,23.510000,25.780001,25.780001,35270200
2016-12-01,25.980000,29.530001,24.580000,25.170000,25.170000,61589400
2017-01-01,25.490000,27.635000,18.520000,19.219999,19.219999,105015300
2017-02-01,19.500000,20.230000,17.770000,18.559999,18.559999,119080500
2017-03-01,18.750000,19.049999,17.049999,18.299999,18.299999,79712700
2017-04-01,18.610001,20.000000,17.459999,19.410000,19.410000,81601100
2017-05-01,19.389999,19.959999,17.212999,17.830000,17.830000,72716400
2017-06-01,17.900000,21.805000,17.790001,20.160000,20.160000,77020700
2017-07-01,20.240000,20.600000,17.170000,18.110001,18.110001,70252600
2017-08-01,17.010000,17.420000,15.050000,15.100000,15.100000,104195500
2017-09-01,15.230000,16.889999,14.800000,15.020000,15.020000,66462000
2017-10-01,15.070000,16.020000,11.400000,11.530000,11.530000,118845200
2017-11-01,11.460000,12.420000,10.360000,11.930000,11.930000,153327900
2017-12-01,11.900000,14.561000,11.368000,13.320000,13.320000,104593800
