Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,21.790136,23.063099,17.771566,18.794928,11.549262,42583800
2000-02-01,18.670128,19.119410,14.027555,15.300519,9.401990,54296100
2000-03-01,15.225639,19.119410,13.628195,17.671724,10.975327,55477900
2000-04-01,17.771566,19.393970,16.448683,18.745008,11.641905,40660000
2000-05-01,18.645168,20.517172,17.896366,18.195887,11.300859,29375000
2000-06-01,18.295727,20.217651,15.724840,16.074282,10.076708,32946500
2000-07-01,15.874600,18.370607,14.976038,15.674920,9.826359,42677700
2000-08-01,15.749801,18.520367,15.125799,18.202116,11.410614,51746900
2000-09-01,18.220846,19.468849,12.729632,13.553315,8.585082,72842800
2000-10-01,13.328674,15.200679,11.781150,15.075878,9.549520,50447500
2000-11-01,14.876198,16.498602,14.426917,16.074282,10.181940,35569200
2000-12-01,16.273962,17.896366,14.951078,16.723244,10.716727,46289200
2001-01-01,16.473642,17.931311,15.200679,17.695686,11.339894,53429800
2001-02-01,17.683706,18.190895,16.972843,17.312300,11.094208,33742200
2001-03-01,17.212460,19.508785,15.075878,15.858626,10.261975,63374900
2001-04-01,15.894568,18.769968,15.255591,18.769968,12.145883,42394200
2001-05-01,18.530352,20.079872,18.270767,19.708466,12.753178,42943400
2001-06-01,19.708466,19.968052,16.273962,16.453674,10.744422,49666000
2001-07-01,16.453674,18.051119,16.226038,17.444090,11.391174,40665400
2001-08-01,17.448084,17.448084,15.575080,16.202076,10.580124,38024000
2001-09-01,16.202076,16.633387,12.140575,13.498403,8.904744,45864600
2001-10-01,13.498403,16.373802,12.979233,14.896166,9.826833,51630800
2001-11-01,15.047923,17.168530,14.680511,16.729233,11.036089,36704500
2001-12-01,16.673323,18.230831,16.493610,16.697285,11.133765,47618600
2002-01-01,16.865015,17.731630,15.742811,17.663738,11.778200,78451400
2002-02-01,17.663738,19.992012,16.773163,19.968052,13.314716,68402300
2002-03-01,19.768370,21.625399,19.448881,19.976038,13.446454,74384800
2002-04-01,19.976038,20.686901,18.450480,19.948084,13.427628,63500400
2002-05-01,19.888180,21.725239,19.193291,20.107828,13.535163,60832700
2002-06-01,20.111820,20.583067,17.727636,18.234825,12.372007,57547200
2002-07-01,18.334665,18.510384,13.091054,15.331470,10.402133,84711800
2002-08-01,15.267571,15.694888,13.554313,14.996006,10.174526,58514000
2002-09-01,14.996006,15.734824,13.178914,13.753994,9.440192,57402300
2002-10-01,13.753994,16.369808,11.857029,15.575080,10.690108,75180300
2002-11-01,15.515176,18.530352,15.231629,18.450480,12.663668,51753700
2002-12-01,19.049520,19.121407,16.174122,17.196486,11.930288,47800600
2003-01-01,17.372204,18.218849,15.423323,15.678914,10.877451,55778400
