Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MS,"Morgan Stanley",47.89,0.6,+1.27%,47.92,47.23,7661200,04/26/19
MSFT,"Microsoft Corp",129.89,0.74,+0.57%,130.52,129.02,23654898,04/26/19
NEE,"Nextera Energy",191.71,1.23,+0.65%,193.39,191.29,1413300,04/26/19
NFLX,"Netflix Inc",374.85,6.52,+1.77%,375.14,366.24,5621900,04/26/19
NKE,"Nike Inc",88.31,0.75,+0.86%,88.94,87.33,6219500,04/26/19
NVDA,"Nvidia Corp",178.09,-8.82,-4.72%,180.89,173.3,21724699,04/26/19
ORCL,"Oracle Corp",55.41,0.4,+0.73%,55.49,55.01,7101500,04/26/19
OXY,"Occidental Petroleum Corp",61.31,-0.53,-0.86%,61.8,60.01,10170800,04/26/19
PEP,"Pepsico Inc",126.4,0.27,+0.21%,127.25,126.11,3033800,04/26/19
PFE,"Pfizer Inc",39.97,0.36,+0.91%,39.99,39.44,19025699,04/26/19
PG,"Procter & Gamble Company",105.86,2.58,+2.50%,105.88,103.91,7747600,04/26/19
PM,"Philip Morris International Inc",84.76,1.17,+1.40%,85.13,83.89,3930200,04/26/19
PYPL,"Paypal Holdings",110.56,0.34,+0.31%,110.57,107.88,7683100,04/26/19
QCOM,"Qualcomm Inc",86.64,1.57,+1.85%,86.75,84.21,18860500,04/26/19
RTN,"Raytheon Company",177.43,0.06,+0.03%,180.13,176.75,2170500,04/26/19
SBUX,"Starbucks Corp",77.45,0.34,+0.44%,77.52,75.06,12550400,04/26/19
SLB,"Schlumberger N.V.",43.3,0,0.00%,43.47,42.46,8527399,04/26/19
SO,"Southern Company",52.54,0.1,+0.19%,53,52.47,2810500,04/26/19
SPG,"Simon Property Group",178.61,0.76,+0.43%,179.67,177.49,834100,04/26/19
T,"AT&T Inc",30.68,0.34,+1.12%,30.96,30.28,35191801,04/26/19
TGT,"Target Corp",77.12,-4.62,-5.65%,78.36,74.73,12352800,04/26/19
TXN,"Texas Instruments",117.21,0.04,+0.03%,117.25,115.31,3582500,04/26/19
UNH,"Unitedhealth Group Inc",237,6.21,+2.69%,237.11,231.19,6186600,04/26/19
UNP,"Union Pacific Corp",177.22,1.73,+0.99%,177.26,175.13,2234000,04/26/19
UPS,"United Parcel Service",103.95,-1.18,-1.12%,105.02,103.2,5421700,04/26/19
USB,"U.S. Bancorp",52.34,0.5,+0.96%,52.35,51.7,5082800,04/26/19
UTX,"United Technologies Corp",140.78,1.05,+0.75%,140.83,139.58,2059800,04/26/19
V,"Visa Inc",162.93,1.91,+1.19%,163.03,160.4,7525300,04/26/19
VZ,"Verizon Communications Inc",56.58,0.73,+1.31%,56.81,55.83,16329700,04/26/19
WBA,"Walgreens Boots Alliance",52.85,0.17,+0.32%,52.96,52.25,7253700,04/26/19
WFC,"Wells Fargo & Company",47.96,0.45,+0.95%,47.98,47.4,13035399,04/26/19
WMT,"Wal-Mart Stores",101.53,-1.99,-1.92%,102.34,99.66,8107900,04/26/19
XOM,"Exxon Mobil Corp",80.49,-1.73,-2.10%,80.63,79.56,18053400,04/26/19
"Downloaded from Barchart.com as of 04-27-2019 01:04pm CDT"
